player,position,team,team_name,owner
Buffalo Bills,DEF,BUF,ThunderDuck5,ThunderDuck5
Washington Commanders,DEF,WAS,ThunderDuck5,ThunderDuck5
Denver Broncos,DEF,DEN,Bo Nix Fanclub,ItsKevin
Los Angeles Rams,DEF,LAR,Lottsofwins,Lottsofwins
Dylan Sampson,RB,CLE,Chungus Buzzards,young3ull
Isaac TeSlaa,WR,DET,Chungus Buzzards,young3ull
Keenan Allen,WR,LAC,Chungus Buzzards,young3ull
Philadelphia Eagles,DEF,PHI,Chungus Buzzards,young3ull
Pittsburgh Steelers,DEF,PIT,NabersThinkI'mSellinDope,mcelroyk
Ollie Gordon,RB,MIA,💿z nutz ,chicityboi
Tyjae Spears,RB,TEN,💿z nutz ,chicityboi
Arizona Cardinals,DEF,ARI,💿z nutz ,chicityboi
Jaydon Blue,RB,DAL,Cup Of Joe ,Vande23
Seattle Seahawks,DEF,SEA,Cup Of Joe ,Vande23
Isaac Guerendo,RB,SF,DBoiii,DBoiii
Jake Elliott,K,PHI,DBoiii,DBoiii
C.J. Stroud,QB,HOU,DBoiii,DBoiii
Detroit Lions,DEF,DET,DBoiii,DBoiii
Minnesota Vikings,DEF,MIN,Str8 Outta Mar-a-Lago,TommyUggz
Daniel Carlson,K,LV,rholcomb,rholcomb
Jerome Ford,RB,CLE,rholcomb,rholcomb
Baltimore Ravens,DEF,BAL,rholcomb,rholcomb
