player,position,team,team_name,owner
Trey Benson,RB,,Chubba My's Huevo,
Buffalo,DEF,,Chubba My's Huevo,
Christian Watson,WR,,Chubba My's Huevo,
Hunter Henry,TE,,Smooth Route Gavin,
Minnesota,DEF,,Smooth Route Gavin,
Rashid Shaheed,WR,,Soft Hands David,
Hollywood Brown,WR,,Soft Hands David,
Drake Maye,QB,,Soft Hands David,
Cam Little,K,,Soft Hands David,
Green Bay,DEF,,Soft Hands David,
Tank Bigsby,RB,,Block Party Dane,
Rashod Bateman,WR,,Block Party Dane,
Wil Lutz,K,,Block Party Dane,
Detroit,DEF,,Block Party Dane,
J.J. McCarthy,QB,,Orbital Tits,
Jayden Higgins,WR,,Orbital Tits,
Philadelphia,DEF,,Orbital Tits,
Luther Burden III,WR,,G baby oil,
Michael Penix Jr.,QB,,G baby oil,
Blake Corum,RB,,G baby oil,
Denver,DEF,,G baby oil,
Najee Harris,RB,,Hard Count john,
Younghoe Koo,K,,Hard Count john,
Seattle,DEF,,Hard Count john,
Baltimore,DEF,,Hard Count john,
Braelon Allen,RB,,Matthew’s Golden Shower,
Los Angeles,DEF,,Matthew’s Golden Shower,
Dak Prescott,QB,,Taylor Gang,
Michael Pittman Jr.,WR,,Taylor Gang,
Ka'imi Fairbairn,K,,Taylor Gang,
Pittsburgh,DEF,,Taylor Gang,
Rhamondre Stevenson,RB,,Laser Arm Torrey,
Dallas Goedert,TE,,Laser Arm Torrey,
Darnell Mooney,WR,,Laser Arm Torrey,
Tua Tagovailoa,QB,,Laser Arm Torrey,
Los Angeles,DEF,,Laser Arm Torrey,
Jordan Love,QB,,Birds of War,
Jake Ferguson,TE,,Birds of War,
Rachaad White,RB,,Birds of War,
Kansas City,DEF,,Birds of War,
Tyler Allgeier,RB,,MVP Kenny,
Houston,DEF,,MVP Kenny,
