platform,team_name,count
sleeper,Bo Nix Fanclub,15
sleeper,Chungus Buzzards,15
sleeper,Cup Of Joe ,15
sleeper,DBoiii,15
sleeper,Lottsofwins,15
sleeper,NabersThinkI'mSellinDope,15
sleeper,Str8 Outta Mar-a-Lago,15
sleeper,ThunderDuck5,15
sleeper,rholcomb,16
sleeper,💿z nutz ,16
yahoo,Birds of War,14
yahoo,Block Party Dane,14
yahoo,Chubba My's Huevo,15
yahoo,G baby oil,15
yahoo,Hard Count john,14
yahoo,Laser Arm Torrey,14
yahoo,MVP Kenny,14
yahoo,Matthew’s Golden Shower,15
yahoo,Orbital Tits,14
yahoo,Smooth Route Gavin,14
yahoo,Soft Hands David,15
yahoo,Taylor Gang,14
