platform,player_id,player_key,fp_player_id,canonical_player_id,fp_key,player,position,nfl_team,team_name,owner,eligible_positions
sleeper,11584,11584,25981.0,canon:bucky irving::RB,bucky-irving|RB|,Bucky Irving,RB,TB,ThunderDuck5,ThunderDuck5,"['RB', 'W/R/T']"
sleeper,12518,12518,26434.0,canon:tyler warren::TE,tyler-warren|TE|,Tyler Warren,TE,IND,ThunderDuck5,ThunderDuck5,"['TE', 'W/R/T']"
sleeper,1945,1945,,,,Chris Boswell,K,PIT,ThunderDuck5,ThunderDuck5,['K']
sleeper,3163,3163,15501.0,canon:jared goff::QB,jared-goff|QB|,Jared Goff,QB,DET,ThunderDuck5,ThunderDuck5,['QB']
sleeper,4046,4046,16413.0,canon:patrick mahomes::QB,patrick-mahomes|QB|,Patrick Mahomes,QB,KC,ThunderDuck5,ThunderDuck5,['QB']
sleeper,4988,4988,17246.0,canon:nick chubb::RB,nick-chubb|RB|,Nick Chubb,RB,HOU,ThunderDuck5,ThunderDuck5,"['RB', 'W/R/T']"
sleeper,7525,7525,19222.0,canon:devonta smith::WR,devonta-smith|WR|,DeVonta Smith,WR,PHI,ThunderDuck5,ThunderDuck5,"['WR', 'W/R/T']"
sleeper,8112,8112,23163.0,canon:drake london::WR,drake-london|WR|,Drake London,WR,ATL,ThunderDuck5,ThunderDuck5,"['WR', 'W/R/T']"
sleeper,8137,8137,22963.0,canon:george pickens::WR,george-pickens|WR|,George Pickens,WR,DAL,ThunderDuck5,ThunderDuck5,"['WR', 'W/R/T']"
sleeper,8144,8144,20111.0,canon:chris olave::WR,chris-olave|WR|,Chris Olave,WR,NO,ThunderDuck5,ThunderDuck5,"['WR', 'W/R/T']"
sleeper,8155,8155,22982.0,canon:breece hall::RB,breece-hall|RB|,Breece Hall,RB,NYJ,ThunderDuck5,ThunderDuck5,"['RB', 'W/R/T']"
sleeper,8228,8228,24209.0,canon:jaylen warren::RB,jaylen-warren|RB|,Jaylen Warren,RB,PIT,ThunderDuck5,ThunderDuck5,"['RB', 'W/R/T']"
sleeper,9509,9509,23133.0,canon:bijan robinson::RB,bijan-robinson|RB|,Bijan Robinson,RB,ATL,ThunderDuck5,ThunderDuck5,"['RB', 'W/R/T']"
sleeper,BUF,BUF,8030.0,canon:buffalo bills::DST,buffalo-bills|DST|,Buffalo Bills,DEF,BUF,ThunderDuck5,ThunderDuck5,['DEF']
sleeper,WAS,WAS,8310.0,canon:washington commanders::DST,washington-commanders|DST|,Washington Commanders,DEF,WAS,ThunderDuck5,ThunderDuck5,['DEF']
sleeper,11539,11539,,,,Jake Bates,K,DET,Bo Nix Fanclub,ItsKevin,['K']
sleeper,11563,11563,22910.0,canon:bo nix::QB,bo-nix|QB|,Bo Nix,QB,DEN,Bo Nix Fanclub,ItsKevin,['QB']
sleeper,11628,11628,23064.0,canon:marvin harrison::WR,marvin-harrison|WR|,Marvin Harrison,WR,ARI,Bo Nix Fanclub,ItsKevin,"['WR', 'W/R/T']"
sleeper,1689,1689,13429.0,canon:adam thielen::WR,adam-thielen|WR|,Adam Thielen,WR,MIN,Bo Nix Fanclub,ItsKevin,"['WR', 'W/R/T']"
sleeper,3321,3321,15802.0,canon:tyreek hill::WR,tyreek-hill|WR|,Tyreek Hill,WR,MIA,Bo Nix Fanclub,ItsKevin,"['WR', 'W/R/T']"
sleeper,4217,4217,16499.0,canon:george kittle::TE,george-kittle|TE|,George Kittle,TE,SF,Bo Nix Fanclub,ItsKevin,"['TE', 'W/R/T']"
sleeper,5850,5850,18269.0,canon:josh jacobs::RB,josh-jacobs|RB|,Josh Jacobs,RB,GB,Bo Nix Fanclub,ItsKevin,"['RB', 'W/R/T']"
sleeper,5967,5967,18705.0,canon:tony pollard::RB,tony-pollard|RB|,Tony Pollard,RB,TEN,Bo Nix Fanclub,ItsKevin,"['RB', 'W/R/T']"
sleeper,6790,6790,19210.0,canon:dandre swift::RB,d-andre-swift|RB|,D'Andre Swift,RB,CHI,Bo Nix Fanclub,ItsKevin,"['RB', 'W/R/T']"
sleeper,6794,6794,19236.0,canon:justin jefferson::WR,justin-jefferson|WR|,Justin Jefferson,WR,MIN,Bo Nix Fanclub,ItsKevin,"['WR', 'W/R/T']"
sleeper,6803,6803,19252.0,canon:brandon aiyuk::WR,brandon-aiyuk|WR|,Brandon Aiyuk,WR,SF,Bo Nix Fanclub,ItsKevin,"['WR', 'W/R/T']"
sleeper,7049,7049,19590.0,canon:jauan jennings::WR,jauan-jennings|WR|,Jauan Jennings,WR,SF,Bo Nix Fanclub,ItsKevin,"['WR', 'W/R/T']"
