"player_name","pos","team","rank","ecr","sd","best","worst","player_positions","player_short_name","player_eligibility","player_page_url","player_filename","player_bye_week","player_owned_avg","player_ecr_delta","note","tag","recommendation","pos_rank","r2p_pts","year","pulled_at","source","player","fp_player_id","ros_points","ros_rank","ros_best_rank","ros_worst_rank","ros_avg_rank","ros_sd_rank","ros_ecr_vs_adp","fp_player_slug","team_clean","fp_key","ros_pos_rank"
"Denver Broncos","DST","DEN",1,1,0,1,1,"DST","DEN DST","DST","https://www.fantasypros.com/nfl/players/denver-defense.php","denver-defense.php","12",92.6,NA,NA,NA,NA,"DST1","117.3",2025,"2025-09-09T18:09:55Z","fantasypros","Denver Broncos",8090,NA,1,1,1,NA,0,NA,"denver-broncos","den","denver-broncos|DST|den",1
"Philadelphia Eagles","DST","PHI",2,2.25,0.43,2,3,"DST","PHI DST","DST","https://www.fantasypros.com/nfl/players/philadelphia-defense.php","philadelphia-defense.php","9",96,NA,NA,NA,NA,"DST2","115.6",2025,"2025-09-09T18:09:55Z","fantasypros","Philadelphia Eagles",8230,NA,2,2,3,NA,0.43,NA,"philadelphia-eagles","phi","philadelphia-eagles|DST|phi",2
"Baltimore Ravens","DST","BAL",3,3.75,0.83,3,5,"DST","BAL DST","DST","https://www.fantasypros.com/nfl/players/baltimore-defense.php","baltimore-defense.php","7",93.5,1,NA,NA,NA,"DST3","115.6",2025,"2025-09-09T18:09:55Z","fantasypros","Baltimore Ravens",8020,NA,3,3,5,NA,0.83,NA,"baltimore-ravens","bal","baltimore-ravens|DST|bal",3
"Minnesota Vikings","DST","MIN",4,4.25,0.43,4,5,"DST","MIN DST","DST","https://www.fantasypros.com/nfl/players/minnesota-defense.php","minnesota-defense.php","6",84.5,1,NA,NA,NA,"DST4","115.6",2025,"2025-09-09T18:09:55Z","fantasypros","Minnesota Vikings",8170,NA,4,4,5,NA,0.43,NA,"minnesota-vikings","min","minnesota-vikings|DST|min",4
"Pittsburgh Steelers","DST","PIT",5,5.25,2.17,2,8,"DST","PIT DST","DST","https://www.fantasypros.com/nfl/players/pittsburgh-defense.php","pittsburgh-defense.php","5",91,-2,NA,NA,NA,"DST5","113.9",2025,"2025-09-09T18:09:55Z","fantasypros","Pittsburgh Steelers",8240,NA,5,2,8,NA,2.17,NA,"pittsburgh-steelers","pit","pittsburgh-steelers|DST|pit",5
"Houston Texans","DST","HOU",6,6.5,0.87,5,7,"DST","HOU DST","DST","https://www.fantasypros.com/nfl/players/houston-defense.php","houston-defense.php","6",67.2,NA,NA,NA,NA,"DST6","112.2",2025,"2025-09-09T18:09:55Z","fantasypros","Houston Texans",8120,NA,6,5,7,NA,0.87,NA,"houston-texans","hou","houston-texans|DST|hou",6
"Detroit Lions","DST","DET",7,7,1,6,8,"DST","DET DST","DST","https://www.fantasypros.com/nfl/players/detroit-defense.php","detroit-defense.php","8",66.7,3,NA,NA,NA,"DST7","110.5",2025,"2025-09-09T18:09:55Z","fantasypros","Detroit Lions",8100,NA,7,6,8,NA,1,NA,"detroit-lions","det","detroit-lions|DST|det",7
"Buffalo Bills","DST","BUF",8,8,1.58,6,10,"DST","BUF DST","DST","https://www.fantasypros.com/nfl/players/buffalo-defense.php","buffalo-defense.php","7",66.1,-2,NA,NA,NA,"DST8","108.8",2025,"2025-09-09T18:09:55Z","fantasypros","Buffalo Bills",8030,NA,8,6,10,NA,1.58,NA,"buffalo-bills","buf","buffalo-bills|DST|buf",8
"Green Bay Packers","DST","GB",9,10.5,5.85,3,19,"DST","GB DST","DST","https://www.fantasypros.com/nfl/players/green-bay-defense.php","green-bay-defense.php","5",50.9,2,NA,NA,NA,"DST9","107.1",2025,"2025-09-09T18:09:55Z","fantasypros","Green Bay Packers",8110,NA,9,3,19,NA,5.85,NA,"green-bay-packers","gb","green-bay-packers|DST|gb",9
"Los Angeles Rams","DST","LAR",10,10.75,1.48,9,13,"DST","LAR DST","DST","https://www.fantasypros.com/nfl/players/los-angeles-rams-defense.php","los-angeles-rams-defense.php","8",16.3,2,NA,NA,NA,"DST10","105.4",2025,"2025-09-09T18:09:55Z","fantasypros","Los Angeles Rams",8280,NA,10,9,13,NA,1.48,NA,"los-angeles-rams","lar","los-angeles-rams|DST|lar",10
"Kansas City Chiefs","DST","KC",11,11.25,1.48,9,13,"DST","KC DST","DST","https://www.fantasypros.com/nfl/players/kansas-city-defense.php","kansas-city-defense.php","10",64.7,-3,NA,NA,NA,"DST11","105.4",2025,"2025-09-09T18:09:55Z","fantasypros","Kansas City Chiefs",8150,NA,11,9,13,NA,1.48,NA,"kansas-city-chiefs","kc","kansas-city-chiefs|DST|kc",11
"Seattle Seahawks","DST","SEA",12,11.75,0.83,11,13,"DST","SEA DST","DST","https://www.fantasypros.com/nfl/players/seattle-defense.php","seattle-defense.php","8",23.8,NA,NA,NA,NA,"DST12","103.7",2025,"2025-09-09T18:09:55Z","fantasypros","Seattle Seahawks",8260,NA,12,11,13,NA,0.83,NA,"seattle-seahawks","sea","seattle-seahawks|DST|sea",12
"New York Jets","DST","NYJ",13,14,0.71,13,15,"DST","NYJ DST","DST","https://www.fantasypros.com/nfl/players/new-york-jets-defense.php","new-york-jets-defense.php","9",24.9,2,NA,NA,NA,"DST13","103.7",2025,"2025-09-09T18:09:55Z","fantasypros","New York Jets",8210,NA,13,13,15,NA,0.71,NA,"new-york-jets","nyj","new-york-jets|DST|nyj",13
"Chicago Bears","DST","CHI",14,15.5,0.5,15,16,"DST","CHI DST","DST","https://www.fantasypros.com/nfl/players/chicago-defense.php","chicago-defense.php","5",10.8,4,NA,NA,NA,"DST14","103.7",2025,"2025-09-09T18:09:55Z","fantasypros","Chicago Bears",8050,NA,14,15,16,NA,0.5,NA,"chicago-bears","chi","chicago-bears|DST|chi",14
"New England Patriots","DST","NE",15,16,7.25,9,27,"DST","NE DST","DST","https://www.fantasypros.com/nfl/players/new-england-defense.php","new-england-defense.php","14",14.1,NA,NA,NA,NA,"DST15","103.7",2025,"2025-09-09T18:09:55Z","fantasypros","New England Patriots",8180,NA,15,9,27,NA,7.25,NA,"new-england-patriots","ne","new-england-patriots|DST|ne",15
"Los Angeles Chargers","DST","LAC",16,16.25,3.49,12,21,"DST","LAC DST","DST","https://www.fantasypros.com/nfl/players/los-angeles-chargers-defense.php","los-angeles-chargers-defense.php","12",37.5,NA,NA,NA,NA,"DST16","103.7",2025,"2025-09-09T18:09:55Z","fantasypros","Los Angeles Chargers",8250,NA,16,12,21,NA,3.49,NA,"los-angeles-chargers","lac","los-angeles-chargers|DST|lac",16
"New York Giants","DST","NYG",17,18,5.1,10,24,"DST","NYG DST","DST","https://www.fantasypros.com/nfl/players/new-york-giants-defense.php","new-york-giants-defense.php","14",5.6,NA,NA,NA,NA,"DST17","102.0",2025,"2025-09-09T18:09:55Z","fantasypros","New York Giants",8200,NA,17,10,24,NA,5.1,NA,"new-york-giants","nyg","new-york-giants|DST|nyg",17
"Arizona Cardinals","DST","ARI",18,18,3.39,14,23,"DST","ARI DST","DST","https://www.fantasypros.com/nfl/players/arizona-defense.php","arizona-defense.php","8",43.9,NA,NA,NA,NA,"DST18","102.0",2025,"2025-09-09T18:09:55Z","fantasypros","Arizona Cardinals",8000,NA,18,14,23,NA,3.39,NA,"arizona-cardinals","ari","arizona-cardinals|DST|ari",18
"Tampa Bay Buccaneers","DST","TB",19,18.25,2.38,15,21,"DST","TB DST","DST","https://www.fantasypros.com/nfl/players/tampa-bay-defense.php","tampa-bay-defense.php","9",24.3,-4,NA,NA,NA,"DST19","100.3",2025,"2025-09-09T18:09:55Z","fantasypros","Tampa Bay Buccaneers",8290,NA,19,15,21,NA,2.38,NA,"tampa-bay-buccaneers","tb","tampa-bay-buccaneers|DST|tb",19
"San Francisco 49ers","DST","SF",20,18.5,2.29,16,22,"DST","SF DST","DST","https://www.fantasypros.com/nfl/players/san-francisco-defense.php","san-francisco-defense.php","14",50.7,-3,NA,NA,NA,"DST20","100.3",2025,"2025-09-09T18:09:55Z","fantasypros","San Francisco 49ers",8270,NA,20,16,22,NA,2.29,NA,"san-francisco-49ers","sf","san-francisco-49ers|DST|sf",20
"Washington Commanders","DST","WAS",21,19,1.22,17,20,"DST","WAS DST","DST","https://www.fantasypros.com/nfl/players/washington-defense.php","washington-defense.php","12",50,4,NA,NA,NA,"DST21","100.3",2025,"2025-09-09T18:09:55Z","fantasypros","Washington Commanders",8310,NA,21,17,20,NA,1.22,NA,"washington-commanders","was","washington-commanders|DST|was",21
"Dallas Cowboys","DST","DAL",22,21,1.73,18,22,"DST","DAL DST","DST","https://www.fantasypros.com/nfl/players/dallas-defense.php","dallas-defense.php","10",13.8,NA,NA,NA,NA,"DST22","98.6",2025,"2025-09-09T18:09:55Z","fantasypros","Dallas Cowboys",8080,NA,22,18,22,NA,1.73,NA,"dallas-cowboys","dal","dallas-cowboys|DST|dal",22
