"fantasypros_id","player_name","team","passing_att","passing_cmp","passing_yds","passing_tds","passing_ints","rushing_att","rushing_yds","rushing_tds","misc_fl","misc_fpts","pos","year","week","pulled_at","source","player","fp_player_id","fantasypts","weekly_sd","weekly_floor","weekly_ceiling","fp_player_slug","fp_key","weekly_avg","weekly_ecr_rank","weekly_ecr_best_rank","weekly_ecr_worst_rank","weekly_ecr_avg_rank","weekly_ecr_sd_rank","receiving_rec","receiving_yds","receiving_tds","fg","fga","xpt","fpts","sack","int","fr","ff","td","safety","pa","yds_agn","weekly_points_overall_rank","weekly_points_pos_rank"
"8240","Pittsburgh Steelers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Pittsburgh Steelers",8240,7.5,NA,NA,NA,"pittsburgh-steelers","pittsburgh-steelers|DST|",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2.7,0.8,0.6,1,0.2,0,17.3,303.7,174,1
"8310","Washington Commanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Washington Commanders",8310,7.2,NA,NA,NA,"washington-commanders","washington-commanders|DST|",7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,2.8,0.7,0.6,0.8,0.2,0,19.7,343.2,183,2
"8090","Denver Broncos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Denver Broncos",8090,7.1,NA,NA,NA,"denver-broncos","denver-broncos|DST|",7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,2.4,0.8,0.5,0.7,0.2,0,17.1,317.5,187,3
"8180","New England Patriots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","New England Patriots",8180,7,NA,NA,NA,"new-england-patriots","new-england-patriots|DST|",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.5,0.8,0.5,0.6,0.2,0,19.3,343.4,191,4
"8000","Arizona Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Arizona Cardinals",8000,6.8,NA,NA,NA,"arizona-cardinals","arizona-cardinals|DST|",6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,2.5,0.8,0.5,0.7,0.2,0,18.1,324.7,198,5
"8170","Minnesota Vikings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Minnesota Vikings",8170,6.6,NA,NA,NA,"minnesota-vikings","minnesota-vikings|DST|",6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,3.2,0.7,0.5,0.7,0.2,0,21.1,314.8,203,6
"8230","Philadelphia Eagles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Philadelphia Eagles",8230,6.1,NA,NA,NA,"philadelphia-eagles","philadelphia-eagles|DST|",6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,2.3,0.8,0.6,1,0.2,0,20.5,341.4,216,7
"8280","Los Angeles Rams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Los Angeles Rams",8280,5.9,NA,NA,NA,"los-angeles-rams","los-angeles-rams|DST|",5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2.7,0.7,0.5,0.8,0.1,0,20.8,351.2,220,8
"8160","Miami Dolphins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Miami Dolphins",8160,5.9,NA,NA,NA,"miami-dolphins","miami-dolphins|DST|",5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2.7,0.7,0.5,0.8,0.1,0,23.1,321.4,221,9
"8270","San Francisco 49ers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","San Francisco 49ers",8270,5.8,NA,NA,NA,"san-francisco-49ers","san-francisco-49ers|DST|",5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,2.3,0.8,0.5,0.7,0.2,0,21.9,336.1,224,10
