team_name,owner,cnt_DEF,cnt_IR,cnt_K,cnt_QB,cnt_RB,cnt_TE,cnt_WR,starters_count
Birds of War,Birds of War,1,0,1,2,4,2,4,9
Block Party Dane,Block Party Dane,1,0,1,2,3,2,5,9
Chubba My's Huevo,Chubba My's Huevo,1,0,1,1,5,1,5,9
G baby oil,G baby oil,1,0,1,2,5,1,4,9
Hard Count john,Hard Count john,2,1,1,1,4,1,4,10
Laser Arm Torrey,Laser Arm Torrey,1,0,1,2,3,2,5,9
MVP Kenny,MVP Kenny,1,0,1,1,5,1,5,9
Nabers know my Name,Nabers know my Name,1,1,0,1,6,1,5,9
Orbital Tits,Orbital Tits,1,0,1,2,4,2,4,9
Smooth Route Gavin,Smooth Route Gavin,1,0,1,2,3,2,5,9
Soft Hands David,Soft Hands David,1,0,1,1,3,2,6,9
Spin Zone PHAMTOM,Spin Zone PHAMTOM,1,0,1,2,5,1,4,9
