team_key,team_name,owner,player_id,player,pos,nfl_team,is_starter
461.l.1264351.t.8,Birds of War,Birds of War,100012,Kansas City,DEF,,True
461.l.1264351.t.8,Birds of War,Birds of War,32417,Chase McLaughlin,K,,True
461.l.1264351.t.8,Birds of War,Birds of War,32696,Jordan Love,QB,,False
461.l.1264351.t.8,Birds of War,Birds of War,31833,Kyler Murray,QB,,True
461.l.1264351.t.8,Birds of War,Birds of War,40055,Bijan Robinson,RB,,True
461.l.1264351.t.8,Birds of War,Birds of War,34054,Brian Robinson Jr.,RB,,False
461.l.1264351.t.8,Birds of War,Birds of War,34047,Rachaad White,RB,,False
461.l.1264351.t.8,Birds of War,Birds of War,31960,Tony Pollard,RB,,True
461.l.1264351.t.8,Birds of War,Birds of War,34085,Jake Ferguson,TE,,False
461.l.1264351.t.8,Birds of War,Birds of War,34010,Trey McBride,TE,,True
461.l.1264351.t.8,Birds of War,Birds of War,40041,Jaxon Smith-Njigba,WR,,True
461.l.1264351.t.8,Birds of War,Birds of War,40901,Rome Odunze,WR,,True
461.l.1264351.t.8,Birds of War,Birds of War,28534,Stefon Diggs,WR,,False
461.l.1264351.t.8,Birds of War,Birds of War,40877,Xavier Worthy,WR,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,100008,Detroit,DEF,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,29754,Wil Lutz,K,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,40900,Caleb Williams,QB,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,33399,Justin Fields,QB,,False
461.l.1264351.t.12,Block Party Dane,Block Party Dane,31905,David Montgomery,RB,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,40095,Tank Bigsby,RB,,False
461.l.1264351.t.12,Block Party Dane,Block Party Dane,41048,Tyrone Tracy Jr.,RB,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,40048,Dalton Kincaid,TE,,False
461.l.1264351.t.12,Block Party Dane,Block Party Dane,30259,George Kittle,TE,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,32687,CeeDee Lamb,WR,,True
461.l.1264351.t.12,Block Party Dane,Block Party Dane,33963,Drake London,WR,,True
